t,x,y,vx,vy,speed,angleDeg,ekBody,epBody,armAngle,armOmega,ekTotal,epTotal,eTotal,released
0.0,2.9,0.9,0.0,0.0,0.0,0.0,0.0,26.487000000000002,0.0,0.0,0.0,387.5284622986217,387.5284622986217,False
0.016666666666666666,2.9,0.8986034374999755,-2.698798902336639e-29,-0.16350000000286968,0.16350000000286968,-90.0,0.04009837500140758,26.44589916562428,-0.0014295544990288078,-0.16734941501369324,0.7180163844582111,387.3072588211026,388.02527520556083,False
0.03333333333333333,2.9,0.8944818749999032,-5.933713910500441e-28,-0.32700000000573937,0.32700000000573937,-90.0,0.16039350000563032,26.32460158124715,-0.0056486490487758076,-0.334693938759245,1.3351681992365931,386.66160705844084,387.9967752576774,False
0.05,2.9,0.887635312499783,-3.381781132073088e-26,-0.49050000000860905,0.49050000000860905,-90.0,0.3608853750126682,26.123107246868614,-0.012656668145685043,-0.5019759437869566,2.3339212460553664,385.6009656253261,387.9348868713815,False
0.06666666666666667,2.9,0.878063749999615,-4.59253853126557e-25,-0.6540000000114787,0.6540000000114787,-90.0,0.6415740000225213,25.84141616248867,-0.022452494448111763,-0.6691976762547028,3.6494185257605296,384.1432417493643,387.79266027512483,False
0.08333333333333333,2.9,0.8657671874993992,-1.885186778299674e-24,-0.8175000000143484,0.8175000000143484,-90.0,1.0024593750351896,25.479528328107317,-0.03502997212235112,-0.8278823570846668,5.214094211312443,382.3090150545118,387.52310926582425,False
0.09999999999999999,2.9,0.8507456249991355,-5.684430817824132e-24,-0.9810000000172181,0.9810000000172181,-90.0,1.4435415000506728,25.03744374372456,-0.05039697835168811,-0.9935422240994003,6.9652413816043595,380.1247170402053,387.0899584218097,False
0.11666666666666665,2.9,0.832999062498824,-1.4283438392738207e-23,-1.1445000000200878,1.1445000000200878,-90.0,1.9648203750689714,24.51516240934039,-0.06854631544508034,-1.1571872246986172,8.840656724164983,377.61946216633527,386.46011889050027,False
0.13333333333333333,2.9,0.8125274999984647,-3.171448009607391e-23,-1.3080000000229575,1.3080000000229575,-90.0,2.566296000090085,23.912684324954817,-0.08947446639151224,-1.3192772932170882,10.788395799903597,374.8251763938146,385.6135721937182,False
0.15,2.9,0.7893309374980576,-6.40582347201036e-23,-1.4715000000258271,1.4715000000258271,-90.0,3.247968375114014,23.230009490567834,-0.1131763638228383,-1.480904830392905,12.774311451439829,371.7759824846106,384.5502939360504,False
0.16666666666666666,2.9,0.7634093749976026,-3.6445065483246724e-21,-1.6350000000286968,1.6350000000286968,-90.0,4.009837500140758,22.467137906179445,-0.13964455235004986,-1.6417845334733872,14.786995517342909,368.5072906668837,383.2942861842266,False
0.18333333333333332,2.9,0.7347628124970998,-1.0785217569622784e-20,-1.7985000000315665,1.7985000000315665,-90.0,4.851903375170317,21.624069571789647,-0.16886882050411683,-1.8013225336223826,16.830449517964485,365.0548015139959,381.8852510319604,False
